,Black,Hispanic,Other,White,X,Y,AP and/or IB,Calculus,FTE School Counselors,lat,long,Total_SAT_ACT,Total_students
127,22.7,53.5,13.200000000000003,10.6,1028830.6160493,245528.744692532,Yes,Yes,6.0,40.840482341483714,-73.83888254643075,185.0,1090.0
128,72.2,24.2,2.9000000000000057,0.7,995258.2822504521,198642.765285987,Yes,No,3.0,40.711898364324405,-73.96029207016724,106.0,587.0
129,29.8,67.2,1.5,1.5,999751.7723752692,197878.20247966,Yes,No,2.4,40.709793089582526,-73.94408538447844,52.0,265.0
130,3.3,94.0,1.0,1.7,1003394.72925605,248622.241311465,Yes,No,1.4,40.84906485587616,-73.93080071851759,64.0,761.0
131,23.8,26.8,9.5,39.9,988231.983519573,155630.396983541,Yes,Yes,2.0,40.59384476481535,-73.98566199776099,51.0,596.0
132,38.6,5.5,22.400000000000006,33.5,989558.00193929,193528.57684807398,Yes,No,2.0,40.69786637738003,-73.98085755819703,35.0,236.0
133,53.8,29.3,2.0,14.9,988214.435990587,149543.522094748,No,No,2.0,40.57713751154208,-73.9857287521889,4.0,208.0
134,14.8,64.1,14.800000000000011,6.3,987489.47881569,219031.227675242,Yes,Yes,5.0,40.76786588197722,-73.98830506989955,229.0,1261.0
135,40.3,50.6,6.099999999999994,3.0,1002603.41898985,230368.99469226602,Yes,No,1.0,40.79896656962973,-73.93371086356291,20.0,233.0
136,31.1,62.7,4.299999999999983,1.9,983515.327622943,210213.35906114397,No,No,2.0,40.7436636409239,-74.00265129713091,30.0,370.0
137,11.8,61.5,18.299999999999997,8.4,986456.5769832521,209583.28346665105,Yes,Yes,0.0,40.7419339958626,-73.99203707729225,128.0,441.0
138,25.0,58.3,10.0,6.7,995407.934355914,218151.87080019398,Yes,Yes,0.0,40.765445827311176,-73.95971990174056,57.0,460.0
139,16.0,46.6,24.900000000000006,12.5,995340.838274326,218183.741438949,No,No,0.0,40.765533388395035,-73.95996206570503,63.0,343.0
140,80.8,11.2,4.900000000000006,3.1,995857.227137915,175891.616694014,Yes,No,2.0,40.64945087121474,-73.95817080656559,24.0,224.0
141,52.0,42.7,3.9000000000000057,1.4,996633.3111622628,200020.74616453,Yes,Yes,3.0,40.71567877488274,-73.95532967510394,114.0,515.0
142,40.0,50.4,6.800000000000011,2.8,1022693.79163678,258203.739244153,No,No,3.4,40.875300207220214,-73.86098872255015,64.0,460.0
144,4.0,8.4,25.099999999999994,62.5,997186.1239895921,219902.74968743892,Yes,Yes,2.0,40.77024911172401,-73.95329727554831,190.0,549.0
146,82.5,14.4,2.0999999999999943,1.0,1005930.77569091,187036.40941201602,No,No,1.0,40.68002191056139,-73.92183273656597,20.0,194.0
147,70.8,21.0,6.700000000000003,1.5,987477.853930125,192388.275898937,Yes,Yes,0.0,40.694737519494296,-73.98835981848852,111.0,463.0
148,0.9,97.2,-1.4210854715202004e-14,1.9,1020693.12036234,191710.861859292,Yes,No,1.0,40.692803730827826,-73.86858377125427,19.0,211.0
149,44.3,49.6,2.3000000000000114,3.8,996576.8988222741,223793.261777812,No,No,3.0,40.780928414613655,-73.95548959721727,4.0,341.0
150,31.4,56.6,3.4000000000000057,8.6,1002234.13718121,232815.66470535198,No,No,0.0,40.80568276571231,-73.93503808685395,0.0,606.0
151,30.0,62.0,4.200000000000003,3.8,1000206.67064836,231746.087514012,No,No,1.0,40.80275096523185,-73.94236419761162,0.0,263.0
152,76.2,20.1,1.7999999999999972,1.9,992839.08338586,187932.583481436,No,No,3.0,40.682504088836296,-73.96903200934395,0.0,214.0
153,43.5,20.7,15.700000000000003,20.1,989418.42889419,153488.19539452,No,No,1.0,40.58796423804369,-73.98139158049587,0.0,527.0
154,67.4,11.1,16.39999999999999,5.1,997234.756941953,168988.935249731,No,No,4.0,40.63050257823517,-73.9532198604663,151.0,602.0
155,9.2,9.8,23.0,58.0,1002270.59744282,150684.728885908,Yes,Yes,3.0,40.580252469701314,-73.93512609881802,285.0,1051.0
156,8.8,84.4,5.200000000000003,1.6,996469.945564143,196281.667373782,No,No,2.8,40.705416119852266,-73.95592577024044,27.0,250.0
157,70.1,24.1,4.300000000000011,1.5,1006209.25388696,190139.889735373,Yes,Yes,2.0,40.688539565764906,-73.92081860539055,165.0,652.0
158,1.5,4.3,42.800000000000004,51.4,952112.393031345,146221.765766895,Yes,Yes,5.0,40.56796258405468,-74.11567367759919,479.0,1280.0
159,29.8,60.7,8.0,1.5,998048.8342547972,237429.725948367,Yes,Yes,7.0,40.81835460522813,-73.9501466588042,250.0,1441.0
161,46.7,36.9,12.5,3.9,1030481.47915411,257784.236218712,No,No,2.0,40.87411144655622,-73.83283170033556,69.0,336.0
162,45.6,48.0,4.5,1.9,1022547.87076403,258256.09253437692,Yes,No,3.0,40.87544453505826,-73.86151606667458,65.0,371.0
163,42.4,50.7,4.599999999999994,2.3,1022514.45377027,258162.524951849,No,No,1.0,40.875187866142014,-73.86163743571862,28.0,434.0
164,34.5,56.6,7.099999999999994,1.8,1022484.37847588,258071.185168905,Yes,No,3.0,40.87493729722688,-73.86174670774194,112.0,542.0
165,34.5,45.3,10.5,9.7,1022892.98232814,252620.5819750189,Yes,No,2.0,40.85997528985129,-73.86030065426101,62.0,472.0
166,37.4,55.9,4.5,2.2,1024306.74540884,238429.546017448,No,No,1.0,40.82101878347552,-73.85527448847084,2.0,179.0
167,34.7,61.4,2.9000000000000057,1.0,1010537.56604957,237720.326535517,No,No,0.0,40.819123885210296,-73.90502543107814,2.0,202.0
168,77.3,18.1,3.799999999999997,0.8,1010875.25988936,186076.323266035,No,No,2.0,40.677373201551966,-73.90400983733284,0.0,238.0
169,61.1,27.8,5.5,5.6,1001159.42159305,233387.922444625,No,No,1.0,40.80725557714398,-73.93891870868516,4.0,36.0
170,13.6,21.7,12.0,52.7,987472.1991868999,220749.28174189,Yes,Yes,5.0,40.772581499183104,-73.9883666278437,367.0,1305.0
171,26.2,64.9,7.199999999999989,1.7,999745.349581197,227173.214751075,Yes,Yes,2.0,40.79020049480979,-73.94404104935055,80.0,404.0
172,25.8,62.1,7.900000000000006,4.2,989594.768751601,211244.81695254,Yes,No,2.0,40.74649314989231,-73.98071089582034,37.0,306.0
173,37.3,36.7,9.599999999999994,16.4,961551.1115143772,174264.079122934,Yes,Yes,10.0,40.644962150887814,-74.08179493801286,647.0,2501.0
174,31.2,53.7,11.5,3.6,1015470.11522105,260419.26953974305,Yes,Yes,8.0,40.88140965431849,-73.88709890194632,144.0,1696.0
175,62.3,28.5,7.800000000000011,1.4,1018683.53140802,186526.60778241305,No,No,4.0,40.67858220037907,-73.87585696212678,59.0,1023.0
176,22.6,21.0,28.5,27.9,995571.493377351,165223.546550186,Yes,Yes,14.0,40.62016965890172,-73.95921840905744,665.0,3889.0
178,8.9,33.6,28.0,29.5,1027224.39806781,205177.198783357,Yes,Yes,11.0,40.72973626195207,-73.84494565452937,952.0,3835.0
179,4.7,30.1,30.599999999999994,34.6,973304.094920492,167790.60868759098,Yes,Yes,18.4,40.62721617863451,-74.03943283253287,1201.0,4405.0
180,5.3,64.5,11.299999999999997,18.9,1009477.61515774,198505.317605148,Yes,Yes,7.0,40.71149198542775,-73.90900211419269,282.0,1732.0
181,50.9,42.7,4.199999999999989,2.2,1030685.47220966,257775.555663157,Yes,Yes,7.0,40.87408655029335,-73.83209414427984,172.0,2077.0
182,13.2,61.1,18.700000000000003,7.0,1002733.32741811,218266.021505023,Yes,Yes,5.9,40.76574686090932,-73.933274956483,328.0,2083.0
184,47.5,38.4,11.900000000000006,2.2,983852.862113843,198450.068694593,Yes,No,3.0,40.711376297371146,-74.00143250317433,61.0,596.0
185,12.1,28.6,9.200000000000003,50.1,954434.907502459,146891.363942467,Yes,Yes,10.0,40.56980861324122,-74.1073171556086,455.0,2879.0
187,9.4,61.4,24.89999999999999,4.3,1019089.6246400999,209231.92508106,Yes,Yes,10.0,40.740901255789296,-73.87427538901696,154.0,1957.0
188,85.4,9.0,4.799999999999997,0.8,992853.672195716,192635.33551764602,Yes,Yes,3.0,40.69541204730943,-73.96897340363078,230.0,908.0
189,82.4,12.2,3.299999999999997,2.1,994856.6118797121,186511.43197173398,Yes,No,1.0,40.67860116325205,-73.96176003616506,50.0,376.0
190,72.5,23.1,3.9000000000000057,0.5,990919.368230821,193124.382188978,Yes,Yes,2.0,40.69675603587866,-73.97594841353094,33.0,432.0
191,26.6,44.5,7.5,21.4,944789.1680827821,170513.400863335,Yes,Yes,7.0,40.63460853276057,-74.14217420726257,318.0,1493.0
193,5.3,15.6,30.0,49.1,983615.3146750359,209740.04551586692,Yes,Yes,2.6,40.742364521118624,-74.0022904176363,177.0,527.0
194,5.8,75.3,12.0,6.9,1004213.51041272,209572.43504564892,Yes,Yes,5.0,40.741881962421935,-73.92795729079528,232.0,1578.0
195,30.9,44.3,5.800000000000011,19.0,962213.1981186541,173551.502304147,Yes,No,3.0,40.64300795387357,-74.07940679737273,85.0,653.0
196,10.9,29.0,23.5,36.6,988323.2753202128,208550.381493377,Yes,Yes,3.0,40.739098274025814,-73.98530130766181,101.0,749.0
197,11.6,48.5,35.2,4.7,1030427.03160888,192510.66141587892,Yes,Yes,11.0,40.69495355632575,-73.83347725607982,113.0,1951.0
198,89.3,6.2,3.5,1.0,995246.0701187359,183370.30676359,Yes,Yes,6.0,40.6699790066504,-73.96036104912038,227.0,1361.0
200,26.7,57.4,12.200000000000003,3.7,982898.979156102,203239.24985176304,No,Yes,2.0,40.724521355347036,-74.00487418464421,60.0,430.0
202,27.0,69.3,1.7999999999999972,1.9,993459.419076895,229718.64652919892,No,No,2.0,40.79719580256464,-73.96673817802542,4.0,538.0
204,28.2,49.9,10.5,11.4,984191.9621906392,209550.40660095692,No,No,2.0,40.74184403214692,-74.00020944203122,19.0,429.0
205,23.8,61.5,10.0,4.7,998438.649999944,228399.89370339696,Yes,Yes,2.0,40.79356959185825,-73.94875739114048,122.0,470.0
206,33.2,63.8,2.200000000000003,0.8,986875.330058804,211595.9903021789,No,No,0.0,40.7474582580256,-73.99052512827616,2.0,265.0
207,70.7,22.8,4.699999999999989,1.8,1001799.79666737,239537.5820947,Yes,Yes,4.0,40.824133417720006,-73.93658942520337,205.0,1410.0
208,33.0,63.3,2.200000000000003,1.5,1012324.37124775,239340.493405075,No,No,2.0,40.823565284499566,-73.8985630947853,2.0,267.0
209,28.8,65.6,4.1000000000000085,1.5,1008723.74956522,237263.586995113,Yes,Yes,0.4,40.817875475745375,-73.91158024497669,142.0,482.0
210,22.9,69.7,5.599999999999994,1.8,1009286.79961381,234794.41143566198,No,No,1.0,40.81109670459935,-73.9095552470756,6.0,109.0
